Date,Category,SubCategory,Expense Amount,Account,Payee,Notes,Device
2012-11-02,"Home/Rent","Association fee","   1000.00","CIMB Saving","","",""
2012-12-20,"Home/Rent","Association fee","    150.00","Cash","","",""
2013-01-11,"Home/Rent","Association fee","    800.00","Cash","","",""
2014-01-21,"Home/Rent","Association fee","     20.00","Cash","","Pest control",""
2014-01-29,"Home/Rent","Association fee","    200.00","Coin","","",""
2014-10-18,"Home/Rent","House Loan","   3000.00","CIMB Saving","Mortgage Loan","Atlantis residence booking fee",""
2014-11-12,"Home/Rent","House Loan","   8695.00","OCBC Titanium","Mortgage Loan","Atlantis Deposit balance",""
2015-01-08,"Home/Rent","House Loan","   3553.00","Maybank Savings","","Loan Agreement disbursement",""
2012-07-02,"Utilities","Electricity","    526.20","","","",""
2012-07-03,"Utilities","Water","     12.55","","","",""
2012-07-04,"Utilities","CellPhone","     92.05","","","",""
2012-07-06,"Utilities","Telephone","     85.45","","","",""
2012-07-17,"Utilities","TNG","    100.00","CIMB Saving","","",""
2012-08-01,"Utilities","Electricity","     94.60","Maybank Savings","TNB","",""
2012-08-01,"Utilities","Telephone","     39.45","CIMB Platinum","Unifi","",""
2012-08-01,"Utilities","Water","      7.22","Maybank Savings","Syabas","",""
2012-08-10,"Utilities","CellPhone","     97.50","CIMB Platinum","Digi","",""
2012-09-02,"Utilities","Telephone","     49.20","CIMB Platinum","Unifi","",""
2012-09-02,"Utilities","Electricity","    161.70","Maybank Savings","TNB","",""
2012-09-02,"Utilities","Water","      5.77","Maybank Savings","Syabas","",""
2012-09-03,"Utilities","TNG","     70.00","CIMB Saving","","",""
2012-09-21,"Utilities","CellPhone","     24.27","CIMB Platinum","Digi","",""
2012-10-01,"Utilities","Electricity","    203.15","Maybank Savings","TNB","",""
2012-10-01,"Utilities","Telephone","     45.05","CIMB Platinum","Unifi","",""
2012-10-01,"Utilities","Water","      3.30","Maybank Savings","Syabas","",""
2012-10-01,"Utilities","CellPhone","     42.55","CIMB Platinum","U Mobile","",""
2012-10-05,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-10-16,"Utilities","CellPhone","     64.30","CIMB Platinum","U Mobile","",""
2012-11-01,"Utilities","Electricity","    161.30","Maybank Savings","TNB","",""
2012-11-01,"Utilities","Water","      7.62","Maybank Savings","Syabas","",""
2012-11-01,"Utilities","Telephone","     41.75","_Citiibank Platinum","Unifi","",""
2012-11-04,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-11-22,"Utilities","CellPhone","     70.60","CIMB Platinum","U Mobile","",""
2012-11-26,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-12-01,"Utilities","Telephone","     77.25","_Citiibank Platinum","Unifi","",""
2012-12-01,"Utilities","Water","      3.71","_Citiibank Platinum","Syabas","",""
2012-12-03,"Utilities","Internet","     29.81","Paypal","","Domain",""
2012-12-07,"Utilities","Electricity","    174.25","SCB visa","TNB","",""
2012-12-16,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-12-18,"Utilities","CellPhone","     96.60","CIMB Platinum","U Mobile","",""
2012-12-21,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-12-27,"Utilities","Water","      3.71","_Citiibank Platinum","Syabas","",""
2012-12-27,"Utilities","Electricity","     61.95","SCB visa","TNB","",""
2013-01-08,"Utilities","Telephone","     33.30","_Citiibank Platinum","Unifi","",""
2013-01-08,"Utilities","Internet","      9.77","Maybankard Amex","","mintwardrobe.com",""
2013-01-10,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-01-14,"Utilities","Internet","     45.25","Paypal","End Of Reality","",""
2013-01-17,"Utilities","CellPhone","     64.65","CIMB Platinum","U Mobile","",""
2013-01-29,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-02-01,"Utilities","Electricity","    135.95","_Citiibank Platinum","TNB","",""
2013-02-01,"Utilities","Water","      7.21","_Citiibank Platinum","Syabas","",""
2013-02-18,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-02-22,"Utilities","Internet","    134.95","_Citiibank Platinum","Unifi","",""
2013-02-22,"Utilities","CellPhone","     72.10","CIMB Platinum","U Mobile","",""
2013-02-23,"Utilities","Internet","    -75.00","Cash","Unifi","",""
